,plot_x_0,plot_x_1,plot_x_2,plot_y_0,plot_y_1,plot_y_2
52,11.0101010101,11.0101010101,11.0101010101,12.9447480102,5.55241160594,3.12059093521
53,11.4141414141,11.4141414141,11.4141414141,12.9538661149,5.56152971066,3.4880434143
54,11.8181818182,11.8181818182,11.8181818182,12.9629842197,5.57064781538,3.85549589339
55,12.2222222222,12.2222222222,12.2222222222,12.9721023244,5.5797659201,4.22294837248
56,12.6262626263,12.6262626263,12.6262626263,12.9812204291,5.58888402482,4.59040085158
57,13.0303030303,13.0303030303,13.0303030303,12.9903385338,5.59800212953,4.95785333067
58,13.4343434343,13.4343434343,13.4343434343,13.0507390036,5.65840259929,5.27066288999
59,13.8383838384,13.8383838384,13.8383838384,13.1616389015,5.76930249721,5.52966377259
60,14.2424242424,14.2424242424,14.2424242424,13.2725387994,5.88020239512,5.78866465519
61,14.6464646465,14.6464646465,14.6464646465,13.3834386973,5.99110229304,6.0476655378
62,15.0505050505,15.0505050505,15.0505050505,13.4943385952,6.10200219096,6.3066664204
63,15.4545454545,15.4545454545,15.4545454545,13.6052384932,6.21290208887,6.565667303
64,15.8585858586,15.8585858586,15.8585858586,13.7161383911,6.32380198679,6.8246681856
65,16.2626262626,16.2626262626,16.2626262626,13.827038289,6.43470188471,7.08366906821
66,16.6666666667,16.6666666667,16.6666666667,13.9379381869,6.54560178262,7.34266995081
67,17.0707070707,17.0707070707,17.0707070707,14.0488380848,6.65650168054,7.60167083341
68,17.4747474747,17.4747474747,17.4747474747,14.1427434587,6.7504070544,7.81222362302
69,17.8787878788,17.8787878788,17.8787878788,14.1774610074,6.78512460309,7.8540433991
70,18.2828282828,18.2828282828,18.2828282828,14.2121785561,6.81984215177,7.89586317518
71,18.6868686869,18.6868686869,18.6868686869,14.2468961047,6.85455970046,7.93768295126
72,19.0909090909,19.0909090909,19.0909090909,14.2816136534,6.88927724915,7.97950272734
73,19.4949494949,19.4949494949,19.4949494949,14.3163312021,6.92399479783,8.02132250342
74,19.898989899,19.898989899,19.898989899,14.3510487508,6.95871234652,8.0631422795
75,20.303030303,20.303030303,20.303030303,14.3857662995,6.99342989521,8.10496205559
76,20.7070707071,20.7070707071,20.7070707071,14.4204838482,7.02814744389,8.14678183167
77,21.1111111111,21.1111111111,21.1111111111,14.4552013969,7.06286499258,8.18860160775
78,21.5151515152,21.5151515152,21.5151515152,14.4614755445,7.0691391402,8.24463024996
79,21.9191919192,21.9191919192,21.9191919192,14.4081539946,7.01581759035,8.33042984978
80,22.3232323232,22.3232323232,22.3232323232,14.3548324448,6.96249604051,8.41622944959
81,22.7272727273,22.7272727273,22.7272727273,14.3015108949,6.90917449066,8.50202904941
82,23.1313131313,23.1313131313,23.1313131313,14.2481893451,6.85585294081,8.58782864923
83,23.5353535354,23.5353535354,23.5353535354,14.1948677952,6.80253139096,8.67362824905
84,23.9393939394,23.9393939394,23.9393939394,14.1415462454,6.74920984111,8.75942784887
85,24.3434343434,24.3434343434,24.3434343434,14.0882246955,6.69588829126,8.84522744869
86,24.7474747475,24.7474747475,24.7474747475,14.0349031457,6.64256674141,8.9310270485
87,25.1515151515,25.1515151515,25.1515151515,13.9815815959,6.58924519157,9.01682664832
88,25.5555555556,25.5555555556,25.5555555556,14.029147181,6.63681077668,9.11637286715
89,25.9595959596,25.9595959596,25.9595959596,14.2142861319,6.82194972764,9.23466447555
90,26.3636363636,26.3636363636,26.3636363636,14.3994250829,7.0070886786,9.35295608394
91,26.7676767677,26.7676767677,26.7676767677,14.5845640338,7.19222762956,9.47124769233
92,27.1717171717,27.1717171717,27.1717171717,14.7697029848,7.37736658052,9.58953930072
93,27.5757575758,27.5757575758,27.5757575758,14.9548419358,7.56250553148,9.70783090912
94,27.9797979798,27.9797979798,27.9797979798,15.1399808867,7.74764448244,9.82612251751
95,28.3838383838,28.3838383838,28.3838383838,15.3251198377,7.9327834334,9.9444141259
96,28.7878787879,28.7878787879,28.7878787879,15.5102587887,8.11792238436,10.0627057343
97,29.1919191919,29.1919191919,29.1919191919,15.6953977396,8.30306133532,10.1809973427
98,29.595959596,29.595959596,29.595959596,15.8805366906,8.48820028629,10.2992889511
99,30.0,30.0,30.0,16.0656756415,8.67333923725,10.4175805595
